Disease,Title,Journal,Year,PMID
regulates inflammation in chronic obstructive pulmonary disease,Interaction between CD244 and SHP2 regulates inflammation in chronic obstructive pulmonary disease via targeting the MAPK/NF-κB signaling pathway.,PloS one,2024,39423200
s disease,Impulse control disorders and other non-motor symptoms in Sri Lankan patients with Parkinson's disease.,PloS one,2024,39423191
Fleischer ring and sunflower cataract in Wilson disease,Kayser-Fleischer ring and sunflower cataract in Wilson disease.,QJM : monthly journal of the Association of Physicians,2024,39423158
Achievement of minimal disease,"Deucravacitinib, a selective, TYK2 inhibitor, in psoriatic arthritis: Achievement of minimal disease activity components in a phase 2 trial.","Rheumatology (Oxford, England)",2024,39423145
Stage Kidney Disease,A Report of Claudin-19 Mutation Causing Nephrocalcinosis and End-Stage Kidney Disease from Iran.,Iranian journal of kidney diseases,2024,39423098
Coexistence of Fabry Disease,Coexistence of Fabry Disease and Membranous Nephropathy: A Case Report.,Iranian journal of kidney diseases,2024,39423097
Associated Metabolic Bone Disease,"Correction to: ""Cystinosis-Associated Metabolic Bone Disease Across Ages and CKD Stages 1 to 5D/T"".",The Journal of clinical endocrinology and metabolism,2024,39423021
s Disease,HLA DQA1*05 and risk of anti-TNF treatment failure and anti-drug antibody development in children with Crohn's Disease: HLA DQA1*05 and Pediatric Crohn's Disease.,The American journal of gastroenterology,2024,39423015
s Disease,HLA DQA1*05 and risk of anti-TNF treatment failure and anti-drug antibody development in children with Crohn's Disease: HLA DQA1*05 and Pediatric Crohn's Disease.,The American journal of gastroenterology,2024,39423015
s Disease,Naturalistic Eye Movement Tasks in Parkinson's Disease: A Systematic Review.,Journal of Parkinson's disease,2024,39422967
s Disease,Therapeutic Trials in Alzheimer's Disease: Where Are We Now?,Journal of Alzheimer's disease : JAD,2024,39422966
s Disease,Hormone Replacement Therapy and Alzheimer's Disease: Current State of Knowledge and Implications for Clinical Use.,Journal of Alzheimer's disease : JAD,2024,39422965
Incretin Mimetics as Potential Disease,Incretin Mimetics as Potential Disease Modifying Treatment for Alzheimer's Disease.,Journal of Alzheimer's disease : JAD,2024,39422964
s Disease,Incretin Mimetics as Potential Disease Modifying Treatment for Alzheimer's Disease.,Journal of Alzheimer's disease : JAD,2024,39422964
s Disease,The Therapeutic Potential of Yoga for Alzheimer's Disease: A Critical Review.,Journal of Alzheimer's disease : JAD,2024,39422963
s Disease,Drug Repurposing for Effective Alzheimer's Disease Medicines: Existing Methods and Novel Pharmacoepidemiological Approaches.,Journal of Alzheimer's disease : JAD,2024,39422962
s Disease,Oxidative Stress in Alzheimer's Disease: The Shortcomings of Antioxidant Therapies.,Journal of Alzheimer's disease : JAD,2024,39422961
s Disease,Growth Factor Gene Therapy for Alzheimer's Disease.,Journal of Alzheimer's disease : JAD,2024,39422960
s Disease,Metformin as a Potential Prevention Strategy for Alzheimer's Disease and Alzheimer's Disease Related Dementias.,Journal of Alzheimer's disease : JAD,2024,39422959
s Disease,Metformin as a Potential Prevention Strategy for Alzheimer's Disease and Alzheimer's Disease Related Dementias.,Journal of Alzheimer's disease : JAD,2024,39422959
s Disease,Treating Alzheimer's Disease: Focusing on Neurodegenerative Consequences.,Journal of Alzheimer's disease : JAD,2024,39422958
s Disease,Hypercholesterolemia and Alzheimer's Disease: Unraveling the Connection and Assessing the Efficacy of Lipid-Lowering Therapies.,Journal of Alzheimer's disease : JAD,2024,39422957
s Disease,Positron Emission Tomography/Computed Tomography Imaging in Therapeutic Clinical Trials in Alzheimer's Disease: An Overview of the Current State of the Art of Research.,Journal of Alzheimer's disease : JAD,2024,39422956
s Disease,"Genistein, A Phytoestrogen, Delays the Transition to Dementia in Prodromal Alzheimer's Disease Patients.",Journal of Alzheimer's disease : JAD,2024,39422955
s Disease,PET/CT/MRI in Clinical Trials of Alzheimer's Disease.,Journal of Alzheimer's disease : JAD,2024,39422954
s Disease,Ketogenic Approaches for the Treatment of Alzheimer's Disease.,Journal of Alzheimer's disease : JAD,2024,39422952
s Disease,Targeting Metals in Alzheimer's Disease: An Update.,Journal of Alzheimer's disease : JAD,2024,39422951
s Disease and Down Syndrome,"Leucettinib-21, a DYRK1A Kinase Inhibitor as Clinical Drug Candidate for Alzheimer's Disease and Down Syndrome.",Journal of Alzheimer's disease : JAD,2024,39422950
s Disease,Conquering Insulin Network Dysfunctions in Alzheimer's Disease: Where Are We Today?,Journal of Alzheimer's disease : JAD,2024,39422949
s Disease,"Alzheimer's Disease and (Phyto) Estrogen Treatment: Modification of Effects by Age, Type of Treatment, and Duration of Use.",Journal of Alzheimer's disease : JAD,2024,39422947
s Disease,Pharmacodynamic and Clinical Effects of Ginkgo Biloba Extract EGb 761 and Its Phytochemical Components in Alzheimer's Disease.,Journal of Alzheimer's disease : JAD,2024,39422946
s Disease,Supplementation with NAD+ Precursors for Treating Alzheimer's Disease: A Metabolic Approach.,Journal of Alzheimer's disease : JAD,2024,39422945
s Disease,Functional Magnetic Resonance Imaging in Alzheimer's Disease Drug Trials: A Mini-Review.,Journal of Alzheimer's disease : JAD,2024,39422944
s Disease,BACE Inhibitor Clinical Trials for Alzheimer's Disease.,Journal of Alzheimer's disease : JAD,2024,39422943
s Disease,Acupuncture as a Complementary Therapy for Alzheimer's Disease.,Journal of Alzheimer's disease : JAD,2024,39422942
s Disease,Varoglutamstat: Inhibiting Glutaminyl Cyclase as a Novel Target of Therapy in Early Alzheimer's Disease.,Journal of Alzheimer's disease : JAD,2024,39422941
s Disease,"CMS121, a Novel Drug Candidate for the Treatment of Alzheimer's Disease and Age-Related Dementia.",Journal of Alzheimer's disease : JAD,2024,39422940
s Disease,"CT1812, a Small Molecule Sigma-2 Receptor Antagonist for Alzheimer's Disease Treatment: A Systematic Review of Available Clinical Data.",Journal of Alzheimer's disease : JAD,2024,39422939
s Disease,Advances and Challenges in Gene Therapy for Alzheimer's Disease.,Journal of Alzheimer's disease : JAD,2024,39422937
s Disease,Melatonin in Alzheimer's Disease: Literature Review and Therapeutic Trials.,Journal of Alzheimer's disease : JAD,2024,39422936
s Disease,A Randomized-Controlled Trial Targeting Cognition in Early Alzheimer's Disease by Improving Sleep with Trazodone (REST).,Journal of Alzheimer's disease : JAD,2024,39422935
s Disease,Immunotherapy in Alzheimer's Disease: Current Status and Future Directions.,Journal of Alzheimer's disease : JAD,2024,39422934
s Disease,Brain Stimulation in Alzheimer's Disease Trials.,Journal of Alzheimer's disease : JAD,2024,39422933
treatment in metastatic melanoma patients with leptomeningeal disease,Intrathecal anti-PD-1 treatment in metastatic melanoma patients with leptomeningeal disease (LMD): real-world data and evidence.,Journal of neuro-oncology,2024,39422814
s disease,"Timing of biomarker changes preceding Alzheimer's disease: for diagnosis, treatment or prevention?",Science China. Life sciences,2024,39422811
Phenolization of the sinus tract in recurrent sacrococcygeal pilonidal sinus disease,Phenolization of the sinus tract in recurrent sacrococcygeal pilonidal sinus disease: long-term results of a prospective cohort study.,International journal of colorectal disease,2024,39422799
Proteostasis and Its Role in Disease,Proteostasis and Its Role in Disease Development.,Cell biochemistry and biophysics,2024,39422790
Preclinical studies of natural flavonoids in inflammatory bowel disease,Preclinical studies of natural flavonoids in inflammatory bowel disease based on macrophages: a systematic review with meta-analysis and network pharmacology.,Naunyn-Schmiedeberg's archives of pharmacology,2024,39422746
Comprehensive genomic analysis of molecular residual disease,Comprehensive genomic analysis of molecular residual disease based on circulating tumour DNA in postoperative patients with colorectal cancer.,Clinical and translational medicine,2024,39422709
s disease,Evolution of aberrant brain-wide spatiotemporal dynamics of resting-state networks in a Huntington's disease mouse model.,Clinical and translational medicine,2024,39422700
methionine as a predictor of disease,[PET/CT with 11C-methionine as a predictor of disease-free survival in patients with IDH1 wild type diffuse glioma].,Zhurnal voprosy neirokhirurgii imeni N. N. Burdenko,2024,39422678
s Disease,The Effect of Colesevelam on the Microbiome in Postoperative Crohn's Disease.,Inflammatory bowel diseases,2024,39422655
Coronavirus disease,Coronavirus disease 2019 outcomes in a population-based cohort of people with HIV and a matched cohort of people without HIV during Omicron variant waves.,"AIDS (London, England)",2024,39422634
cells in the disease,Single-cell sequencing technology to characterize stem T-cell subpopulations in acute T-lymphoblastic leukemia and the role of stem T-cells in the disease process.,Aging,2024,39422621
s disease,Angiotensin-(1-7) relieves behavioral defects and α-synuclein expression through NEAT1/miR-153-3p axis in Parkinson's disease.,Aging,2024,39422618
associated fatty liver disease,Metformin suppresses metabolic dysfunction-associated fatty liver disease by ferroptosis and apoptosis via activation of oxidative stress.,Free radical research,2024,39422606
Preventing cardiovascular disease,Preventing cardiovascular disease in at-risk patients: Results of a pilot behavioural health programme in general practice.,The European journal of general practice,2024,39422594
Transcriptional profiles of peripheral eosinophils in chronic obstructive pulmonary disease,Transcriptional profiles of peripheral eosinophils in chronic obstructive pulmonary disease and asthma-An exploratory study.,Journal of cellular and molecular medicine,2024,39422548
s disease,The incidence and prevalence of Dupuytren's disease in primary care: results from a text mining approach on registration data.,Scandinavian journal of primary health care,2024,39422503
Association of Liver Disease,Association of Liver Disease and Chronic Pruritus: A Case-Control Study.,Liver international : official journal of the International Association for the Study of the Liver,2024,39422498
associated steatotic liver disease,"Correction for Kwan et al., ""Gut phageome in Mexican Americans: a population at high risk for metabolic dysfunction-associated steatotic liver disease and diabetes"".",mSystems,2024,39422494
associated steatotic liver disease,Resmetirom therapy for metabolic dysfunction-associated steatotic liver disease: October 2024 updates to AASLD Practice Guidance.,"Hepatology (Baltimore, Md.)",2024,39422487
understanding of reproductive medicine options for genetic forms of motor neuron disease,Neurologists' understanding of reproductive medicine options for genetic forms of motor neuron disease.,Amyotrophic lateral sclerosis & frontotemporal degeneration,2024,39422440
Geographic Socioeconomic Influences on Disease,Geographic Socioeconomic Influences on Disease Activity in Rheumatoid Arthritis in an Academic and Safety Net Hospital System.,ACR open rheumatology,2024,39422415
s disease,Introduction of a new Johne's disease risk level (RL1*).,The Veterinary record,2024,39422394
host Disease,Grading Histopathology Features of Graft-versus-host Disease in Animal Models; A Systematic Review.,"Iranian journal of allergy, asthma, and immunology",2024,39422384
s disease,Decreased brain pH correlated with progression of Alzheimer's disease neuropathology: a systematic review and meta-analyses of postmortem studies.,The international journal of neuropsychopharmacology,2024,39422361
The Global Burden of Disease,"The long-term spatiotemporal trends in lung cancer burden and its risk factors at global, regional, and national levels, 1992-2021: The Global Burden of Disease Study 2021.","Cancer communications (London, England)",2024,39422330
Treatment outcomes of mild to moderate Clostridioides difficile infection in inflammatory bowel disease,Treatment outcomes of mild to moderate Clostridioides difficile infection in inflammatory bowel disease: an Australian experience.,Internal medicine journal,2024,39422325
Associated Steatotic Liver Disease,Metabolic Dysfunction-Associated Steatotic Liver Disease Increases the Risk of Severe Infection: A Population-Based Cohort Study.,Liver international : official journal of the International Association for the Study of the Liver,2024,39422294
Are people with HIV at advanced disease,Are people with HIV at advanced disease stages being left behind? A global survey.,HIV medicine,2024,39422293
Associated Fatty Liver Disease,The Relationship Between Ferroptosis and Metabolic Dysfunction-Associated Fatty Liver Disease.,Liver international : official journal of the International Association for the Study of the Liver,2024,39422264
Pharmacotherapeutic management of psoriatic disease,Pharmacotherapeutic management of psoriatic disease: addressing psoriatic arthritis and cutaneous manifestations.,Expert opinion on pharmacotherapy,2024,39422251
Coated Balloon Angioplasty Versus Surgery for Symptomatic Deep Femoral Artery Arteriosclerotic Disease,Atherectomy Followed by Drug-Coated Balloon Angioplasty Versus Surgery for Symptomatic Deep Femoral Artery Arteriosclerotic Disease.,Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists,2024,39422238
Irritable bowel syndrome,Irritable bowel syndrome with diarrhea: is colonoscopy mandatory? Opportunistic use of colon mucosal organ culture to diagnose celiac disease.,Polish archives of internal medicine,2024,39422236
Opportunistic use of colon mucosal organ culture to diagnose celiac disease,Irritable bowel syndrome with diarrhea: is colonoscopy mandatory? Opportunistic use of colon mucosal organ culture to diagnose celiac disease.,Polish archives of internal medicine,2024,39422236
Acute kidney disease,Acute kidney disease in mice is associated with early cardiovascular dysfunction.,Renal failure,2024,39422224
Effectiveness of tolvaptan on renal replacement therapy in patients with autosomal dominant polycystic kidney disease,Effectiveness of tolvaptan on renal replacement therapy in patients with autosomal dominant polycystic kidney disease: a retrospective cohort study from the TriNetX global collaborative network.,Renal failure,2024,39422218
inhibitors for diabetic kidney disease,Superior benefits of sodium-glucose co-transporter-2 inhibitors compared with dipeptidyl peptidase-4 inhibitors for diabetic kidney disease: A cohort study.,"Diabetes, obesity & metabolism",2024,39422160
Deep learning in disease,Deep learning in disease vector image identification.,Pest management science,2024,39422093
More severe cerebral small vessel disease,More severe cerebral small vessel disease associated with poor leptomeningeal collaterals in symptomatic intracranial atherosclerotic stenosis.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2024,39422042
Prevalence and Associated Factors of Central Sensitization in Patients with Chronic Inflammatory Rheumatic Disease,Prevalence and Associated Factors of Central Sensitization in Patients with Chronic Inflammatory Rheumatic Disease.,Current rheumatology reviews,2024,39421987
Factors Influencing Drug Prescribing for Patients with Hospitalization History in Circulatory Disease,"Factors Influencing Drug Prescribing for Patients with Hospitalization History in Circulatory Disease: Patient Severity, Composite Adherence, and Physician-Patient Relationship - A Retrospective Cohort Study.",JMIR aging,2024,39421979
Prevalence of Cardiovascular Disease,Prevalence of Cardiovascular Disease and Comparison of Risk Category Predictions of Systemic Coronary Risk Evaluation Score-2 and 4 Other Cardiovascular Disease Risk Assessment Tools Among People Living with Human Immunodefficiency Virus in Türkiye.,Anatolian journal of cardiology,2024,39421971
Other Cardiovascular Disease,Prevalence of Cardiovascular Disease and Comparison of Risk Category Predictions of Systemic Coronary Risk Evaluation Score-2 and 4 Other Cardiovascular Disease Risk Assessment Tools Among People Living with Human Immunodefficiency Virus in Türkiye.,Anatolian journal of cardiology,2024,39421971
development of a tool to assist with disease,The CHD severity classification system: development of a tool to assist with disease stratification for CHD research.,Cardiology in the young,2024,39421949
effectiveness of home care compared to hospital care in patients with chronic obstructive pulmonary disease,Cost-effectiveness of home care compared to hospital care in patients with chronic obstructive pulmonary disease (COPD): a systematic review.,Frontiers in medicine,2024,39421874
Concurrent chronic kidney disease in patients with inflammatory bowel disease,"Concurrent chronic kidney disease in patients with inflammatory bowel disease, a systematic review and meta-analysis.",Frontiers in medicine,2024,39421866
Design and psychometrics of the family caregivers burnout inventory of older adults with chronic disease,Design and psychometrics of the family caregivers burnout inventory of older adults with chronic disease.,Frontiers in public health,2024,39421806
Serum transthyretin levels and disease,Serum transthyretin levels and disease activity in patients with primary Sjögren's syndrome.,Therapeutic advances in musculoskeletal disease,2024,39421803
s syndrome,Serum transthyretin levels and disease activity in patients with primary Sjögren's syndrome.,Therapeutic advances in musculoskeletal disease,2024,39421803
wide association study and genomic prediction into enteritis disease,First insight of the genome-wide association study and genomic prediction into enteritis disease (<i>Vibrio harveyi</i>) resistance trait in the lined seahorse (<i>Hippocampus erectus</i>).,Frontiers in immunology,2024,39421751
COVID infectious disease,Exploring pathogen population density as a metric for understanding post-COVID infectious disease surges.,Frontiers in immunology,2024,39421748
seq reveals the pivotal role of dual receptor T lymphocytes in the pathogenesis of Kawasaki disease,scRNA+TCR-seq reveals the pivotal role of dual receptor T lymphocytes in the pathogenesis of Kawasaki disease and during IVIG treatment.,Frontiers in immunology,2024,39421738
Successful transition from intravenous to inhalation anesthesia for respiratory management of coronavirus disease,Successful transition from intravenous to inhalation anesthesia for respiratory management of coronavirus disease pneumonia: A case report.,Acute medicine & surgery,2024,39421687
s Disease,Challenges and Opportunities for Consideration of Efavirenz Drug Repurposing for Alzheimer's Disease Therapeutics.,ACS pharmacology & translational science,2024,39421657
in chronic obstructive pulmonary disease,[Retracted] Role of long non‑coding RNA MALAT1 in chronic obstructive pulmonary disease.,Experimental and therapeutic medicine,2024,39421596
s disease,The use of plasma exchange with albumin replacement in the management of Alzheimer's disease: a scoping review.,Frontiers in neurology,2024,39421573
s Disease,Prevention and Treatment Strategies for Alzheimer's Disease: Focusing on Microglia and Astrocytes in Neuroinflammation.,Journal of inflammation research,2024,39421566
Transforming Disease,Transforming Disease Surveillance through Artificial Intelligence.,Indian journal of community medicine : official publication of Indian Association of Preventive & Social Medicine,2024,39421515
associated fatty liver disease,Clinical characteristics of lean metabolic-associated fatty liver disease and the impact of concurrent diabetes mellitus.,Tzu chi medical journal,2024,39421499
s disease,"The COM-B model: a cross-sectional survey assessing capability, opportunities, and motivation to follow the MIND diet among informal female caregivers of people with Alzheimer's disease and related dementias.",Frontiers in dementia,2024,39421465
treated Fabry disease,Correction to: Reduction in kidney function decline and risk of severe clinical events in agalsidase beta-treated Fabry disease patients: a matched analysis from the Fabry Registry.,Clinical kidney journal,2024,39421432
Chronic kidney disease,Chronic kidney disease-associated pruritus and quality of life with difelikefalin treatment: a <i>post hoc</i> analysis of phase 3 data using the Skindex-10 questionnaire.,Clinical kidney journal,2024,39421431
s disease,Exploring the mechanism of chondroitin sulfate-selenium nanoparticles in improving Alzheimer's disease: Insights from intestinal flora evaluation.,Heliyon,2024,39421360
Elevated Body Mass Index Is Associated With Rotator Cuff Disease,Elevated Body Mass Index Is Associated With Rotator Cuff Disease: A Systematic Review and Meta-analysis.,"Arthroscopy, sports medicine, and rehabilitation",2024,39421344
have a key role in disease,Expression of nuclear receptors and glucose metabolic pathway proteins in sebaceous carcinoma: Androgen receptor and monocarboxylate transporter 1 have a key role in disease progression.,Oncology letters,2024,39421321
Expression patterns and impact on disease,β‑catenin expression in endometrioid type endometrial cancer: Expression patterns and impact on disease outcomes.,Oncology letters,2024,39421318
Decoding the mosaic of inflammatory bowel disease,Decoding the mosaic of inflammatory bowel disease: Illuminating insights with single-cell RNA technology.,Computational and structural biotechnology journal,2024,39421242
year risk of atherosclerotic cardiovascular disease,Association between myocardial layer-specific strain and high 10-year risk of atherosclerotic cardiovascular disease in hypertension-findings from the China-PAR project study.,Frontiers in cardiovascular medicine,2024,39421160
based remission prediction in rheumatoid arthritis patients treated with biologic disease,Machine learning-based remission prediction in rheumatoid arthritis patients treated with biologic disease-modifying anti-rheumatic drugs: findings from the Kuwait rheumatic disease registry.,Frontiers in big data,2024,39421133
findings from the Kuwait rheumatic disease,Machine learning-based remission prediction in rheumatoid arthritis patients treated with biologic disease-modifying anti-rheumatic drugs: findings from the Kuwait rheumatic disease registry.,Frontiers in big data,2024,39421133
s Disease,Parkinson's Disease Treatment: A Bibliometric Analysis.,Cureus,2024,39421091
s Disease,Dr. Hulusi Behçet: A Pioneer in Dermatology and the Legacy of Behçet's Disease.,Cureus,2024,39421088
TNF for inflammatory bowel disease,Carriage of the HLA-DQA1⋆05 haplotype is associated with a higher risk of infratherapeutic drug concentration and higher immunogenicity in patients undergoing treatment with anti-TNF for inflammatory bowel disease.,Therapeutic advances in gastroenterology,2024,39421002
s disease,Systolic blood pressure variability in late-life predicts cognitive trajectory and risk of Alzheimer's disease.,Frontiers in aging neuroscience,2024,39420926
polymorphism with nonalcoholic fatty liver disease,Association of <i>IRS1</i> gene Pro512Ala polymorphism with nonalcoholic fatty liver disease.,Archives of endocrinology and metabolism,2024,39420901
Clinical features most frequently present in patients with concomitant diabetic kidney disease,Clinical features most frequently present in patients with concomitant diabetic kidney disease and diabetic retinopathy.,Archives of endocrinology and metabolism,2024,39420899
s disease,Budget impact analysis of cabergoline for medical treatment of Cushing's disease in Brazil.,Archives of endocrinology and metabolism,2024,39420893
Response to the letter to the editor Fibrosis,"Response to the letter to the editor Fibrosis or steatosis: which is the best screening target? Comment on the Brazilian evidence-based guideline for screening, diagnosis, treatment, and follow-up of metabolic dysfunction-associated steatotic liver disease (MASLD) in adult individuals with overweight or obesity.",Archives of endocrinology and metabolism,2024,39420883
associated steatotic liver disease,"Response to the letter to the editor Fibrosis or steatosis: which is the best screening target? Comment on the Brazilian evidence-based guideline for screening, diagnosis, treatment, and follow-up of metabolic dysfunction-associated steatotic liver disease (MASLD) in adult individuals with overweight or obesity.",Archives of endocrinology and metabolism,2024,39420883
associated steatotic liver disease,"Fibrosis or steatosis: which is the best screening target? Comment on the Brazilian evidence-based guideline for screening, diagnosis, treatment, and follow-up of metabolic dysfunction-associated steatotic liver disease (MASLD) in adult individuals with overweight or obesity.",Archives of endocrinology and metabolism,2024,39420882
invasive ventilation in a motor neurone disease,"A qualitative exploratory study into medical, nursing and allied health professional experiences of elective withdrawal of non-invasive ventilation in a motor neurone disease cohort.",Journal of evaluation in clinical practice,2024,39420789
The Experiences and Perceptions of Telehealth in Patients Living With Advanced Chronic Obstructive Pulmonary Disease,The Experiences and Perceptions of Telehealth in Patients Living With Advanced Chronic Obstructive Pulmonary Disease: A Qualitative Evidence Synthesis.,Journal of advanced nursing,2024,39420778
for interstitial lung disease,The diagnostic accuracy of serum KL-6 for interstitial lung disease in patients with systemic sclerosis.,International journal of rheumatic diseases,2024,39420744
Venous Thromboembolism in Individuals with Sickle Cell Disease,Venous Thromboembolism in Individuals with Sickle Cell Disease: A Narrative Review.,Hemoglobin,2024,39420740
mediated necrotizing myopathy with mixed connective tissue disease,Case report of a concomitant seronegative immune-mediated necrotizing myopathy with mixed connective tissue disease.,International journal of rheumatic diseases,2024,39420739
Lipidomic and Proteomic Analysis Define the Metabolic Changes Occurring in Curled Areas in Leaves With Leaf Peach Curl Disease,"Integrated Metabolomic, Lipidomic and Proteomic Analysis Define the Metabolic Changes Occurring in Curled Areas in Leaves With Leaf Peach Curl Disease.","Plant, cell & environment",2024,39420723
Treatment of a patient with inoperable tumoral calcinosis associated with end stage kidney disease,Treatment of a patient with inoperable tumoral calcinosis associated with end stage kidney disease: A case report.,Hemodialysis international. International Symposium on Home Hemodialysis,2024,39420663
Risk Behaviors in Adolescents with Rheumatic Disease,Improving Identification of At-Risk Behaviors in Adolescents with Rheumatic Disease.,Arthritis care & research,2024,39420590
Do Personalized Nutrition Interventions Improve Dietary Intake and Risk Factors in Adults With Elevated Cardiovascular Disease,Do Personalized Nutrition Interventions Improve Dietary Intake and Risk Factors in Adults With Elevated Cardiovascular Disease Risk Factors? A Systematic Review and Meta-analysis of Randomized Controlled Trials.,Nutrition reviews,2024,39420556
s Disease,Imaging Glucose Metabolism and Dopaminergic Dysfunction in Sheep (<i>Ovis aries</i>) Brain Using Positron Emission Tomography Imaging Reveals Abnormalities in OVT73 Huntington's Disease Sheep.,ACS chemical neuroscience,2024,39420554
Artificial intelligence for brain disease,Artificial intelligence for brain disease diagnosis using electroencephalogram signals.,Journal of Zhejiang University. Science. B,2024,39420525
a new strategy for central nervous system disease,Phenolic-enabled nanotechnology: a new strategy for central nervous system disease therapy.,Journal of Zhejiang University. Science. B,2024,39420524
Perspectives in the investigation of Cockayne syndrome group B neurological disease,Perspectives in the investigation of Cockayne syndrome group B neurological disease: the utility of patient-derived brain organoid models.,Journal of Zhejiang University. Science. B,2024,39420523
s disease,Disentangling gray matter atrophy and its neurotransmitter architecture in drug-naïve Parkinson's disease: an atlas-based correlation analysis.,"Cerebral cortex (New York, N.Y. : 1991)",2024,39420471
Vesicular syphilis mimicking subepidermal immunobullous disease,Vesicular syphilis mimicking subepidermal immunobullous disease: a case report.,International journal of dermatology,2024,39420449
time surveillance of enteric infection and diarrhoeal disease,"Low cost and real-time surveillance of enteric infection and diarrhoeal disease using rapid diagnostic tests in Cox's Bazar, Bangladesh.",Conflict and health,2024,39420436
alcoholic fatty liver disease,Non-alcoholic fatty liver disease risk with GLP-1 receptor agonists and SGLT-2 inhibitors in type 2 diabetes: a nationwide nested case-control study.,Cardiovascular diabetology,2024,39420429
Preparing for responsive management versus preparing for renal dialysis in multimorbid older people with advanced chronic kidney disease,Preparing for responsive management versus preparing for renal dialysis in multimorbid older people with advanced chronic kidney disease (Prepare for Kidney Care): Study protocol for a randomised controlled trial.,Trials,2024,39420412
Benefit of dual bronchodilator therapy on exacerbations in former and current smokers with chronic obstructive pulmonary disease,Benefit of dual bronchodilator therapy on exacerbations in former and current smokers with chronic obstructive pulmonary disease in real-world clinical practice: a multicenter validation study (TOReTO).,Respiratory research,2024,39420386
enhances fibroblast transdifferentiation to exacerbate chronic obstructive pulmonary disease,MiR-1307-5p enhances fibroblast transdifferentiation to exacerbate chronic obstructive pulmonary disease through regulating FBXL16/HIF1α axis.,Respiratory research,2024,39420370
Transcriptome wide changes in long noncoding RNAs in diabetic ischemic heart disease,Transcriptome wide changes in long noncoding RNAs in diabetic ischemic heart disease.,Cardiovascular diabetology,2024,39420368
formoterol fumarate and placebo on lung hyperinflation and exercise endurance in chronic obstructive pulmonary disease,Effects of inhaled beclometasone dipropionate/formoterol fumarate/glycopyrronium vs. beclometasone dipropionate/formoterol fumarate and placebo on lung hyperinflation and exercise endurance in chronic obstructive pulmonary disease: a randomised controlled trial.,Respiratory research,2024,39420338
s disease,"Knowledge, perceptions, and feelings associated with Alzheimer's disease and related dementias: a qualitative study among middle-aged latinas residing in an underserved agricultural community in California.",BMC public health,2024,39420304
year mortality in chronic kidney disease,Predictive value of stress hyperglycemia ratio on one-year mortality in chronic kidney disease patients admitted to intensive care unit.,BMC nephrology,2024,39420295
factorial examination of disease,Chili cultivars vulnerability: a multi-factorial examination of disease and pest-induced yield decline across different growing microclimates and watering regimens.,BMC plant biology,2024,39420290
stage kidney disease,Structural equation modeling analysis of factors influencing decisional conflict between dialysis modality among end-stage kidney disease patients in Wuhan.,BMC nephrology,2024,39420277
routes for early recurrence after mastectomy and treatment for lobular and ductal forms of disease,Retraction Note: Tumor microenvironment and immune system preservation in early-stage breast cancer: routes for early recurrence after mastectomy and treatment for lobular and ductal forms of disease.,BMC immunology,2024,39420263
s disease,Identification of tauopathy-associated lipid signatures in Alzheimer's disease mouse brain using label-free chemical imaging.,Communications biology,2024,39420210
pathway in inflammatory bowel disease,N4BP3 facilitates NOD2-MAPK/NF-κB pathway in inflammatory bowel disease through mediating K63-linked RIPK2 ubiquitination.,Cell death discovery,2024,39420190
Effectiveness of switching to subcutaneous infliximab in inflammatory bowel disease,Effectiveness of switching to subcutaneous infliximab in inflammatory bowel disease patients with inadequate biochemical response during intravenous administration.,Scientific reports,2024,39420116
s Disease,Comment on: Penile prosthesis implantation is safe and effective in Peyronie's Disease patients with and without erectile dysfunction.,International journal of impotence research,2024,39420110
function tubular aggregate myopathy mouse model phenocopies key features of the human disease,An Orai1 gain-of-function tubular aggregate myopathy mouse model phenocopies key features of the human disease.,The EMBO journal,2024,39420094
Pulse pressure and kidney outcomes in diabetic kidney disease,Pulse pressure and kidney outcomes in diabetic kidney disease.,Hypertension research : official journal of the Japanese Society of Hypertension,2024,39420091
analysis of GFAP gene variants in Alexander disease,A systematic review and meta-analysis of GFAP gene variants in Alexander disease.,Scientific reports,2024,39420046
vaccination in patients with Moyamoya disease,Nationwide Cohort observational study on the safety and efficacy of COVID-19 vaccination in patients with Moyamoya disease.,Scientific reports,2024,39420039
s disease,Parkinson's families project: a UK-wide study of early onset and familial Parkinson's disease.,NPJ Parkinson's disease,2024,39420034
The phageome of patients with ulcerative colitis treated with donor fecal microbiota reveals markers associated with disease,The phageome of patients with ulcerative colitis treated with donor fecal microbiota reveals markers associated with disease remission.,Nature communications,2024,39420033
based classification of valvular heart disease,Machine learning-based classification of valvular heart disease using cardiovascular risk factors.,Scientific reports,2024,39420025
Gaucher Disease,Tongue Fasciculations and Upper Motor Neuron Signs in Infantile-Onset Type 2 Gaucher Disease.,Indian journal of pediatrics,2024,39419955
s disease,Alzheimer's disease and other memory disorders in the age of AI: reflection and perspectives on the 120th anniversary of the birth of Dr. John von Neumann.,GeroScience,2024,39419932
Heart failure with reduced ejection fraction and chronic kidney disease,Heart failure with reduced ejection fraction and chronic kidney disease: a focus on therapies and interventions.,Heart failure reviews,2024,39419850
